#,NES Game,Main Category,# of Runners,Game Value,Mod #R,GVC,GVP,LTM,L,*1.8,.4%+,Min,Relevant Link
1,Super Mario Bros.,any%,1863,1000,3651.48,1000,1000,1.96,,1800,1000,100,https://www.speedrun.com/smb1
2,Super Mario Bros. 3,No WW any%,582,1000,1262.94,1000,1000,2.17,,1800,1000,100,https://www.speedrun.com/smb3?h=Any_No_Wrong_Warp&x=ndxjyj2q
3,"Legend of Zelda, The",No Up+A any%,430,1000,1075,1000,1000,2.5,,1800,1000,100,https://www.speedrun.com/the_legend_of_zelda
4,Chip 'n Dale Rescue Rangers,any%,457,1000,968.84,1000,1000,2.12,,1800,1000,100,https://www.speedrun.com/chipndale
5,Castlevania,any% + Easy Mode,442,990,954.72,990,990,2.16,,1790,990,100,https://www.speedrun.com/cv1
6,Ninja Gaiden,any%,391,990,860.2,990,990,2.2,,1790,990,100,https://www.speedrun.com/ngnes
7,Contra,any%,405,990,858.6,990,990,2.12,,1790,990,100,https://www.speedrun.com/contra
8,DuckTales,any%,410,990,836.4,990,990,2.04,,1790,990,100,https://www.speedrun.com/dt
9,Tetris,100 Lines + 0 Line Start,422,980,784.92,980,980,1.86,,1770,980,100,https://www.speedrun.com/tetrisnes
10,Donkey Kong,1 Loop (Game A),425,980,756.5,980,980,1.78,,1770,980,100,https://www.speedrun.com/donkey_kong
11,Super Mario Bros. 2,any%,348,980,723.84,980,980,2.08,,1770,980,100,https://www.speedrun.com/smb2
13,Zelda II: The Adventure of Link,"100% All Keys, 1CC",236,980,590,970,970,2.5,Y,1750,980,100,https://www.speedrun.com/zelda_ii_the_adventure_of_link
12,Mega Man 2,any% Normal/Difficult,287,970,717.5,970,970,2.5,,1750,980,100,https://megamanleaderboards.net/index.php?game=2
14,Strider,any%,304,970,577.6,970,970,1.9,,1750,980,100,https://www.speedrun.com/stridernes
15,Mega Man 3,any%,230,970,575,970,970,2.5,,1750,980,100,https://megamanleaderboards.net/index.php?game=3
16,Mega Man,All Stages,237,960,568.8,960,960,2.4,,1730,970,100,https://megamanleaderboards.net/index.php?game=1
17,"Little Mermaid, The",any%,271,960,547.42,960,960,2.02,,1730,970,100,https://www.speedrun.com/littlemermaidnes
18,Mega Man 4,any%,178,960,445,960,960,2.5,,1730,970,100,https://megamanleaderboards.net/index.php?game=4
19,Batman: The Video Game,any%,181,950,383.72,950,950,2.12,,1710,970,100,https://www.speedrun.com/batman_the_video_game_nes
20,Castlevania II: Simon's Quest,any% (regular/glitchless/noWW),147,950,367.5,950,950,2.5,,1710,970,100,https://www.speedrun.com/cv2sq
21,Marble Madness,any%,193,950,358.98,950,950,1.86,,1710,970,100,https://www.speedrun.com/marblemadness
22,Dr. Mario,0-10,218,950,353.16,950,950,1.62,,1710,970,100,https://www.speedrun.com/drmariones
23,Super C,any%,151,940,341.26,940,940,2.26,,1700,960,100,https://www.speedrun.com/super_c
24,DuckTales 2,any%,160,940,336,940,940,2.1,,1700,960,100,https://www.speedrun.com/dt2
25,Kirby's Adventure,any% NMG,134,940,335,940,940,2.5,,1700,960,100,https://www.speedrun.com/ka
26,Mega Man 5,any%,133,940,332.5,940,940,2.5,,1700,960,100,https://megamanleaderboards.net/index.php?game=5
27,Metroid,any% + All Bosses + both Classic,152,930,319.2,930,930,2.1,,1680,950,100,https://www.speedrun.com/metroid_nes?h=All_Bosses&x=zd3l3ord
28,Kung-Fu Master,any%,167,930,318.97,930,930,1.91,,1680,950,100,https://www.speedrun.com/kung_fu
29,Where's Waldo?,Easy,171,930,312.93,930,930,1.83,,1680,950,100,https://www.speedrun.com/wwnes
30,Ninja Gaiden II: The Dark Sword of Chaos,any%,146,920,310.98,920,920,2.13,,1660,950,100,https://www.speedrun.com/ng2nes
31,Punch-Out!!,Single Segment,129,920,299.28,920,920,2.32,,1660,950,100,https://www.speedrun.com/mtpo
32,Mega Man 6,any%,119,920,297.5,920,920,2.5,,1660,950,100,https://megamanleaderboards.net/index.php?game=6
33,Super Dodge Ball,Easy 100%,145,920,284.2,920,920,1.96,,1660,950,100,https://www.speedrun.com/superdodgeball
50,StarTropics,any%,71,920,177.5,870,870,2.5,Y,1570,920,100,https://www.speedrun.com/startropics
34,Darkwing Duck,any%,123,910,271.83,910,910,2.21,,1640,940,100,https://www.speedrun.com/dwd
35,Teenage Mutant Ninja Turtles,any%,111,910,261.96,910,910,2.36,,1640,940,100,https://www.speedrun.com/tmnt1
36,Chip 'n Dale Rescue Rangers 2,any%,106,910,243.8,910,910,2.3,,1640,940,100,https://www.speedrun.com/chip_n_dale_rescue_rangers_2
37,Donkey Kong Jr.,1 Loop (Game A),182,910,236.6,910,910,1.3,,1640,940,100,https://www.speedrun.com/dkjr
38,Little Nemo: The Dream Master,any%,94,900,234.06,900,900,2.49,,1620,940,100,https://www.speedrun.com/little_nemo_the_dream_master
39,Ninja Gaiden III: The Ancient Ship of Doom,any% (U/J),103,900,230.72,900,900,2.24,,1620,940,100,https://www.speedrun.com/ng3nes
40,Jackal,any%,104,900,214.24,900,900,2.06,,1620,940,100,https://www.speedrun.com/jackal
41,Die Hard,any% Beginner,117,890,212.94,890,890,1.82,,1610,930,100,https://www.speedrun.com/die_hard_nes
42,Pac-Man (Namco),10000 Points,159,890,201.93,890,890,1.27,,1610,930,100,https://www.speedrun.com/pacman
43,Castlevania III: Dracula's Curse,any% no WW (all 8 NES/FC chars),78,890,195,890,890,2.5,,1610,930,100,https://www.speedrun.com/cv3dc
44,Jaws,any%,103,890,194.67,890,890,1.89,,1610,930,100,https://www.speedrun.com/jaws
45,"Goonies II, The",any% No OoB,83,880,193.39,880,880,2.33,,1590,920,100,https://www.speedrun.com/the_goonies_ii
46,Duck Hunt,100000 points Game B,103,880,192.61,880,880,1.87,,1590,920,100,https://www.speedrun.com/dh
47,Popeye,any%,99,880,187.11,880,880,1.89,,1590,920,100,https://www.speedrun.com/popeye
